epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,518.75,1.30729,0.75341,0.92101,0.89216,0.73609,0.80163,0.4947,1.14519,0.61297,0.88303,0.000819529,0.000819529,0.000819529
55,528.401,1.28272,0.74382,0.92563,0.89478,0.71422,0.79208,0.49602,1.13843,0.62143,0.883,0.00081403,0.00081403,0.00081403
56,537.998,1.28481,0.74315,0.91724,0.84635,0.74262,0.80251,0.50655,1.13735,0.59358,0.87846,0.00080853,0.00080853,0.00080853
57,547.514,1.25634,0.72869,0.91638,0.86918,0.73547,0.79571,0.49535,1.15659,0.62109,0.88128,0.000803031,0.000803031,0.000803031
58,557.048,1.26959,0.73963,0.92157,0.88603,0.7483,0.79896,0.49312,1.1615,0.60503,0.88431,0.000797531,0.000797531,0.000797531
59,566.671,1.27336,0.73381,0.91953,0.87258,0.74471,0.80199,0.50023,1.14993,0.59813,0.88392,0.000792032,0.000792032,0.000792032
60,576.205,1.27748,0.73114,0.92638,0.88466,0.75196,0.81281,0.49676,1.16281,0.59489,0.8829,0.000786532,0.000786532,0.000786532
61,585.739,1.28038,0.73959,0.91802,0.87262,0.77187,0.81352,0.51143,1.13827,0.59569,0.87986,0.000781033,0.000781033,0.000781033
62,595.352,1.28685,0.74334,0.92398,0.87226,0.73617,0.80516,0.50215,1.13367,0.58848,0.88159,0.000775534,0.000775534,0.000775534
63,604.814,1.27926,0.72417,0.91804,0.84266,0.76417,0.80863,0.51083,1.12851,0.57357,0.87717,0.000770034,0.000770034,0.000770034
64,614.308,1.25284,0.71604,0.9158,0.90887,0.7491,0.81088,0.50375,1.13806,0.59506,0.88103,0.000764535,0.000764535,0.000764535
65,623.806,1.2486,0.71376,0.91631,0.87124,0.74878,0.79824,0.50574,1.12684,0.5855,0.87793,0.000759035,0.000759035,0.000759035
66,633.393,1.2633,0.73071,0.91267,0.9004,0.75281,0.81339,0.5139,1.12308,0.57819,0.87816,0.000753536,0.000753536,0.000753536
67,642.964,1.26956,0.71939,0.91902,0.91087,0.75547,0.81357,0.51471,1.13841,0.58391,0.88379,0.000748036,0.000748036,0.000748036
68,652.593,1.25227,0.71227,0.91525,0.90738,0.73874,0.81433,0.51032,1.12752,0.57569,0.88182,0.000742537,0.000742537,0.000742537
69,662.162,1.24892,0.72216,0.91372,0.87125,0.75244,0.80741,0.51071,1.11352,0.57586,0.879,0.000737037,0.000737037,0.000737037
70,671.749,1.26315,0.71339,0.91863,0.86413,0.75834,0.80729,0.51222,1.12315,0.58217,0.8791,0.000731538,0.000731538,0.000731538
71,681.352,1.2682,0.71677,0.91603,0.86233,0.76557,0.81492,0.52232,1.11644,0.57284,0.88305,0.000726038,0.000726038,0.000726038
72,690.899,1.23816,0.7204,0.91534,0.88889,0.7691,0.8262,0.52173,1.10765,0.57053,0.8791,0.000720539,0.000720539,0.000720539
73,700.493,1.25297,0.71229,0.91863,0.85725,0.76935,0.81596,0.51834,1.11779,0.58152,0.87615,0.00071504,0.00071504,0.00071504
74,710.031,1.25209,0.70771,0.91386,0.89073,0.74818,0.81482,0.51647,1.10862,0.56959,0.87681,0.00070954,0.00070954,0.00070954
75,719.523,1.23858,0.70692,0.91608,0.88133,0.7613,0.82151,0.51686,1.1216,0.57478,0.87972,0.000704041,0.000704041,0.000704041
76,729.03,1.24204,0.70328,0.9177,0.86813,0.77425,0.82497,0.52348,1.11677,0.56564,0.87807,0.000698541,0.000698541,0.000698541
77,738.563,1.23781,0.7002,0.9127,0.92461,0.76398,0.82424,0.52061,1.12085,0.56683,0.88104,0.000693042,0.000693042,0.000693042
78,748.122,1.22703,0.69258,0.9101,0.92401,0.75436,0.81713,0.5258,1.09528,0.56607,0.87304,0.000687542,0.000687542,0.000687542
79,757.71,1.25444,0.71001,0.91551,0.9029,0.7578,0.82408,0.52362,1.11101,0.57033,0.87676,0.000682043,0.000682043,0.000682043
